100  0,2    0
100  0,4    0
100  0,6    0
100  0,8    0
100  1,0    2
150  0,2    7
150  0,4    0
150  0,6    0
150  0,8    0
150  1,0    0
200  0,2    0
200  0,4    0
200  0,6    0
200  0,8    0
200  1,0    0
250  0,2    0
250  0,4    0
250  0,6    0
250  0,8    0
250  1,0    0
300  0,2    0
300  0,4    1
300  0,6    1
300  0,8    1
300  1,0    0
350  0,2    1
350  0,4    1
350  0,6    1
350  0,8    1
350  1,0    1
400  0,2    1
400  0,4    2
400  0,6    2
400  0,8    1
400  1,0    1
450  0,2    1
450  0,4    2
450  0,6    2
450  0,8    2
450  1,0    1
500  0,2    2
500  0,4    3
500  0,6    3
500  0,8    2
500  1,0    2
550  0,2    2
550  0,4    3
550  0,6    4
550  0,8    3
550  1,0    2
600  0,2    3
600  0,4    4
600  0,6    5
600  0,8    4
600  1,0    3
650  0,2    3
650  0,4    5
650  0,6    6
650  0,8    5
650  1,0    4
700  0,2    4
700  0,4    6
700  0,6    7
700  0,8    6
700  1,0    4
750  0,2    5
750  0,4    7
750  0,6    8
750  0,8    6
750  1,0    6
800  0,2    5
800  0,4    8
800  0,6    9
800  0,8    8
800  1,0    6
850  0,2    6
850  0,4    9
850  0,6    11
850  0,8    9
850  1,0    8
900  0,2    7
900  0,4    11
900  0,6    11
900  0,8    10
900  1,0    9
950  0,2    9
950  0,4    11
950  0,6    14
950  0,8    10
950  1,0    9
